ID_ATRATIVO_TURISTICO;DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;LINK_SITE_REDE_SOCIAL;REF_LOCALIZACAO;GEOMETRIA
62;Museu de História Natural e Jardim Botânico da UFMG;CULTURAL;RUA;GUSTAVO DA SILVEIRA;1035.0;;Horto Florestal;;;POINT (613746.27 7799960.26)
63;Iate Tênis Clube;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;1350.0;;Lagoa da Pampulha;;;POINT (607208.58 7804291.50)
64;Igreja São Francisco de Assis;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;3000.0;;Lagoa da Pampulha;;;POINT (606895.66 7803860.17)
65;Memorial Minas-Japão;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;6061.0;;Lagoa da Pampulha;;;POINT (605353.06 7804470.98)
66;Feira da Afonso Pena (Feira Hippie);GASTRONOMIA E COMPRAS;;;;;;;Parque Municipal;POINT (611444.00 7796519.40)
67;Feira de Flores e Plantas Naturais;GASTRONOMIA E COMPRAS;;;;;;;Avenida Carandaí entre Avenida Brasil e Rua Ceará;POINT (612201.72 7796098.51)
68;Serra do Curral;NATURAL;;;;;;;Praça Estado de Israel;POINT (613705.78 7792528.40)
69;Viaduto Santa Tereza;CULTURAL;;;;;;;Entre Rua da Bahia e Sapucai;POINT (611467.60 7796995.93)
70;Palácio da Liberdade;CULTURAL;;;;;;;Praça da Liberdade;POINT (611094.51 7795520.09)
71;Mirante de Arte Urbana da Rua Sapucaí;CULTURAL;;;;;;;Rua Sapucai, s-n;POINT (611775.72 7797532.09)
72;Mirante do Mangabeiras;ENTRETENIMENTO E LAZER;;;;;;;Entre a Praça do Papa e Parque Mangabeiras;POINT (613755.10 7793386.86)
73;Arquivo Público da Cidade de Belo Horizonte;CULTURAL;RUA;DO ITAMBE;227.0;;Floresta;;;POINT (611813.27 7796936.54)
74;Biblioteca Infantil Juvenil De Belo Horizonte;CULTURAL;PRACA;RUI BARBOSA;50.0;;Centro;;;POINT (611595.72 7797479.17)
75;Centro Cultural Usina de Cultura;CULTURAL;RUA;DOM CABRAL;765.0;;Ipiranga;;;POINT (611877.95 7800785.43)
76;Biblioteca do Centro Cultural Usina de Cultura;CULTURAL;RUA;DOM CABRAL;765.0;;Ipiranga;;;POINT (611877.95 7800785.43)
77;Centro de Referência da Cultura Popular e Tradicional Lagoa Do Nado;CULTURAL;RUA;MINISTRO HERMENEGILDO DE BARROS;904.0;;Itapoã;;;POINT (608723.26 7806648.24)
78;Biblioteca do Centro de Referência da Cultura Popular e Tradicional Lagoa do Nado;CULTURAL;RUA;MINISTRO HERMENEGILDO DE BARROS;904.0;;Itapoã;;;POINT (608723.26 7806648.24)
79;Centro De Referência Da Memória De Venda Nova;CULTURAL;RUA;BOA VISTA;11.0;;São João Batista;;;POINT (609580.16 7808199.68)
80;Casa Do Baile-Centro de Referência de Arquitetura, Urbanismo e Design ;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;751.0;;Lagoa da Pampulha;;;POINT (607839.77 7804288.39)
81;Centro Cultural Alto Vera Cruz;CULTURAL;RUA;PADRE JULIO MARIA;1577.0;;Alto Vera Cruz;;;POINT (616243.10 7797578.02)
157;Parque das Mangabeiras - Maurício Campos;NATURAL;AVENIDA;JOSE DE PATROCINIO PONTES;580.0;;Mangabeiras;;;POINT (614308.54 7793124.36)
158;Parque Nossa Senhora da Piedade;NATURAL;RUA;RUBENS DE SOUZA PIMENTEL;750.0;;Minaslândia;;;POINT (612279.78 7804976.32)
159;Parque Primeiro de Maio;NATURAL;RUA;JOANA D'ARC;190.0;;Minaslândia;;;POINT (611816.65 7804098.25)
160;CEVAE Morro das Pedras;NATURAL;RUA;BELFORT ROXO;215.0;;Nova Granada;;;POINT (608221.00 7794395.44)
161;Parque Marcus Pereira de Mello;NATURAL;RUA;DOUTOR JOSE OLIMPIO BORGES;120.0;;Novo São Lucas;;;POINT (613590.08 7795960.93)
162;Parque Elias Michel Farah;NATURAL;RUA;DESEMBARGADOR PAULO MOTA;235.0;;Ouro Preto;;;POINT (606796.98 7802055.99)
163;Parque Ecológico Renato Azeredo;NATURAL;RUA;ANTONIO PEREGRINO NASCIMENTO;215.0;;Palmares;;;POINT (611662.93 7801979.75)
164;Jardim Zoológico;NATURAL;AVENIDA;ANTONIO FRANCISCO LISBOA;2600.0;;Bandeirantes;;;POINT (603138.30 7802981.32)
165;Jardim Zoológico;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;8000.0;;Bandeirantes;;;POINT (604126.25 7804181.62)
166;Jardim Botânico;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;8000.0;;Bandeirantes;;;POINT (604126.25 7804181.62)
167;Parque Cássia Eller;NATURAL;RUA;SILVIO PEREIRA BATISTA;125.0;;Paquetá;;;POINT (605564.96 7801131.85)
168;Parque do Bairro Planalto;NATURAL;RUA;SAO JOSE DO JACURI;100.0;;Planalto;;;POINT (609715.10 7806358.21)
169;Parque Jornalista Eduardo Couri;NATURAL;AVENIDA;ARTUR BERNARDES;85.0;;Santa Lúcia;;;POINT (610141.91 7793562.72)
170;Parque Ecológico Pedro Machado;NATURAL;RUA;CASTRO MENEZES;110.0;;Santa Maria;;;POINT (603419.51 7795109.01)
171;Parque Ecológico Universitário;NATURAL;RUA;ARISTOTELES RIBEIRO VASCONCELOS;87.0;A;Santa Rosa;;;POINT (610703.78 7803081.81)
172;Parque Rosinha Cadar;NATURAL;RUA;RODRIGUES CALDAS;315.0;;Santo Agostinho;;;POINT (609652.68 7795726.78)
